tariff_code,description,import_duty,import_excise,import_vagst,export_duty,unit,sitc_code,page_number,chapter,section,hierarchy_level,parent_code,source_file,metadata
01.01,"Live horses, asses, mules and",,,,,,,1,CHAPTER 01,01.01,1,,customs tax.pdf,"{'line_index': 23, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
-,"Live horses, asses, mules and - Horses:",,,,,,,1,,,2,01.01,customs tax.pdf,"{'line_index': 25, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
0101.2100,"Live horses, asses, mules and - Horses: - - Pure-bred breeding animals",8%,Free,15%,Free,,00151,1,CHAPTER 01,0101,3,01.01,customs tax.pdf,"{'line_index': 26, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
0101.2900,"Live horses, asses, mules and - Horses: - - Other",20%,Free,15%,Free,,00151,1,CHAPTER 01,0101,3,01.01,customs tax.pdf,"{'line_index': 27, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
0101.3000,"Live horses, asses, mules and - Horses: - Asses",8%,Free,15%,Free,,00151,1,CHAPTER 01,0101,3,01.01,customs tax.pdf,"{'line_index': 28, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
0101.9000,"Live horses, asses, mules and - Horses: - Other",8%,Free,15%,Free,,00151,1,CHAPTER 01,0101,3,01.01,customs tax.pdf,"{'line_index': 29, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
01.02,Live bovine animals,,,,,,,1,CHAPTER 01,01.02,1,,customs tax.pdf,"{'line_index': 30, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
-,Live bovine animals - Cattle :,,,,,,,1,,,2,01.01,customs tax.pdf,"{'line_index': 31, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
0102.3100,Live bovine animals - Cattle : -- Pure-bred breeding animals,Free,Free,15%,Free,,00111,1,CHAPTER 01,0102,3,01.01,customs tax.pdf,"{'line_index': 35, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
0102.3900,Live bovine animals - Cattle : -- Other,8%,Free,15%,Free,,00111,1,CHAPTER 01,0102,3,01.01,customs tax.pdf,"{'line_index': 36, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
0102.9000,Live bovine animals - Cattle : -Other,8%,Free,15%,Free,,00119,1,CHAPTER 01,0102,3,01.01,customs tax.pdf,"{'line_index': 37, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
01.03,Live swine.,,,,,,,1,CHAPTER 01,01.03,1,,customs tax.pdf,"{'line_index': 38, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
0103.1000,Live swine. - Pure-bred breeding animals,8%,Free,15%,Free,,00131,1,CHAPTER 01,0103,3,01.01,customs tax.pdf,"{'line_index': 39, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.020146'}"
-,Live swine. - Other:,,,,,,,1,,,2,01.01,customs tax.pdf,"{'line_index': 40, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.020146'}"
0103.9100,Live swine. - Other: - - Weighing less than 50 kg,8%,Free,15%,Free,,00139,2,CHAPTER 01,0103,3,01.01,customs tax.pdf,"{'line_index': 7, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0103.9200,Live swine. - Other: - - Weighing 50 kg or more,8%,Free,15%,Free,,00139,2,CHAPTER 01,0103,3,01.01,customs tax.pdf,"{'line_index': 8, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
01.04,Live sheep and goats.,,,,,,,2,CHAPTER 01,01.04,1,,customs tax.pdf,"{'line_index': 9, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
0104.1000,Live sheep and goats. - Sheep,8%,Free,15%,Free,,00121,2,CHAPTER 01,0104,3,01.01,customs tax.pdf,"{'line_index': 10, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0104.2000,Live sheep and goats. - Goats,8%,Free,15%,Free,,00122,2,CHAPTER 01,0104,3,01.01,customs tax.pdf,"{'line_index': 11, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
01.05,"Live poultry, that is to say, fowls of",,,,,,,2,CHAPTER 01,01.05,1,,customs tax.pdf,"{'line_index': 12, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
-,"Live poultry, that is to say, fowls of - Weighing not more than 185g:",,,,,,,2,,,2,01.01,customs tax.pdf,"{'line_index': 15, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.1100,"Live poultry, that is to say, fowls of - Weighing not more than 185g: - - Fowls of the species Gallus",Free,Free,15%,Free,,00141,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 16, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.1200,"Live poultry, that is to say, fowls of - Weighing not more than 185g: - - Turkeys",Free,Free,15%,Free,,00141,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 18, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.1300,"Live poultry, that is to say, fowls of - Weighing not more than 185g: - - Ducks",Free,Free,15%,Free,,00141,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 19, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.1400,"Live poultry, that is to say, fowls of - Weighing not more than 185g: - - Geese",Free,Free,15%,Free,,00141,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 20, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.1500,"Live poultry, that is to say, fowls of - Weighing not more than 185g: - - Guinea fowls",Free,Free,15%,Free,,00141,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 21, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
-,"Live poultry, that is to say, fowls of - Other:",,,,,,,2,,,2,01.01,customs tax.pdf,"{'line_index': 22, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.9400,"Live poultry, that is to say, fowls of - Other: - - Fowls of species Gallus",Free,Free,15%,Free,,00149,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 23, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
0105.9900,"Live poultry, that is to say, fowls of - Other: - - Other",Free,Free,15%,Free,,00149,2,CHAPTER 01,0105,3,01.01,customs tax.pdf,"{'line_index': 25, 'extraction_method': 'specific_item', 'timestamp': '2025-10-19T18:47:01.170572'}"
01.06,Other live animals.,,,,,,,2,CHAPTER 01,01.06,1,,customs tax.pdf,"{'line_index': 26, 'extraction_method': 'main_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
-,Other live animals. - Mammals:,,,,,,,2,,,2,01.01,customs tax.pdf,"{'line_index': 27, 'extraction_method': 'sub_category', 'timestamp': '2025-10-19T18:47:01.170572'}"
